rank,team,run_id,model,model_type,f1_score,accuracy,precision,recall,prediction_hash,submission_date,submitter,submitter_url,pr_number,submission_path
1,Peguy,run_001,GraphSAGE full-batch,human,0.6,0.66,0.6,0.35,d9b24848d64edad953cec3ca3b084042792e206a3aa81e3f1cb49f19a101456c,2026-04-05 08:13,KEMPEGUY,https://github.com/KEMPEGUY,,submissions/inbox/Peguy/run_001/predictions.csv.enc
2,gpt5_4,run_01,medel,llm,0.52,0.56,0.42,0.35,d7a1fd305c243495fc9db27871fd8860852dbfef8d49b5a51ed92a9aa5dd9141,2026-05-17 11:59,codex_gpt5.4,https://github.com/codex_gpt5.4,,submissions/inbox/gpt5_4/run_01/predictions.csv.enc
3,Abderrahmane,run_01,GCN,human,0.5,0.54,0.39,0.35,58cbb3bd3d504443e70b1ccbf20f34a7106565d18669a0c4dc5d8fad10846af9,2026-03-13 15:08,abdksm,https://github.com/abdksm,,submissions/inbox/Abderrahmane/run_01/predictions.csv.enc
4,TugaYousif,run_2,GAT,human,0.49,0.55,0.39,0.28,071632a8d4b8f9dd7e8f51abe7038ed570b11e98c2bd25e38f165b35ebc600c9,2026-03-26 17:25,TugaAhmed,https://github.com/TugaAhmed,,submissions/inbox/TugaYousif/run_2/predictions.csv.enc
5,Kimi_K_2_6,run_001,GraphSAGE Inductive GNN,llm,0.48,0.61,0.5,0.14,e008fb33b5720084da6518085a8aa7228627d297880716e5d90b699b241662cf,2026-05-19 08:24,Mubarraqqq,https://github.com/Mubarraqqq,,submissions/inbox/Kimi_K_2_6/run_001/predictions.csv.enc
6,RosaPY,run_04,GraphSAGE,human,0.47,0.49,0.36,0.42,676c46bb4f93860d191fd014327cb220572130300d71ef6a51279946d34ef4c2,2026-04-15 11:42,RosaPY,https://github.com/RosaPY,,submissions/inbox/RosaPY/run_04/predictions.csv.enc
7,hadilaff,run_001,GNN,human,0.44,0.48,0.31,0.28,a080c7212df63a048ba0cbcf588e7536b1838cd66b083cc0cf37b9b711ab0c07,2026-04-03 21:27,hadilaff,https://github.com/hadilaff,,submissions/inbox/hadilaff/run_001/predictions.csv.enc
7,sanae,run_001,GaphSage_3layers,human,0.44,0.61,0.5,0.07,6f0e8fd19176ae4f95375cd1d07f01a76403984f4819a0f1ff0e4e9c82e1cf19,2026-03-14 13:11,SanaeZR,https://github.com/SanaeZR,,submissions/inbox/sanae/run_001/predictions.csv.enc
7,LLM_Claude_Opus_47,run_claude_47,"GraphSAGE (zero-shot Claude Opus 4.7, agent mode, temperature=0)",llm-only,0.44,0.61,0.5,0.07,81be2960b813c338ad500560a204d5c11051b6a8ba92ded255de84c182fa245e,2026-05-19 06:23,LLM_Claude_Opus_47,https://github.com/LLM_Claude_Opus_47,,submissions/inbox/LLM_Claude_Opus_47/run_claude_47/predictions.csv.enc
8,Sargam_Goyal,run001,BiGCN,human,0.41,0.59,0.29,0.05,041dd2cd05c8d726189ae237f30ef68439cc31e5517e0add34e757955b07c05f,2026-04-11 18:03,Sargam1412,https://github.com/Sargam1412,,submissions/inbox/Sargam_Goyal/run001/predictions.csv.enc
9,Gemini-3-Flash,run_01,GraphSAGE,llm,0.38,0.61,0.0,0.0,7e2cd1ebbb3e38ea15dfe7e5b06ce0731ceb415c2ff3ad3f0059ccdc2246d0b0,2026-05-16 19:38,faranbutt,https://github.com/faranbutt,,submissions/inbox/Gemini-3-Flash/run_01/predictions.csv.enc
9,Llama_33_70B,run_04,SAGE,llm,0.38,0.61,0.0,0.0,7e2cd1ebbb3e38ea15dfe7e5b06ce0731ceb415c2ff3ad3f0059ccdc2246d0b0,2026-05-19 06:23,Llama_33_70B,https://github.com/Llama_33_70B,,submissions/inbox/Llama_33_70B/run_04/predictions.csv.enc
9,Tasneem,run_1,Tasneem-run_1,unknown,0.38,0.61,0.0,0.0,7e2cd1ebbb3e38ea15dfe7e5b06ce0731ceb415c2ff3ad3f0059ccdc2246d0b0,2026-04-01 17:43,participant,https://github.com/participant,,submissions/inbox/Tasneem/run_1/predictions.csv.enc
10,Ignatius,run_002,Ignatius-run_002,unknown,0.34,0.35,0.24,0.3,27abee902100321b503d6d1387865ee04a0665f7bec6be5545dd6cc08110723e,2026-04-05 02:37,participant,https://github.com/participant,,submissions/inbox/Ignatius/run_002/predictions.csv.enc
10,Idrees_Bhat,run_01,Idrees_Bhat-run_01,unknown,0.34,0.35,0.23,0.28,e2e0dcc572a9193e2a3ff670529bb03a3881e2ff386e96c8633f71c3503b753e,2026-04-09 14:03,idrees11,https://github.com/idrees11,,submissions/inbox/Idrees_Bhat/run_01/predictions.csv.enc
